vm,vc,ts,sp,id,hot,rad,,,
3,14.60540129,496.5,10,25,28.59365729,27.82873098,,,
3,14.6073515,496.6,10,25,28.59246247,27.82750015,,,
3,14.60928108,496.7,10,25,28.59126824,27.82627037,,,
3,14.61119023,496.8,10,25,28.59007459,27.82504163,,,
3,14.61307914,496.9,10,25,28.58888154,27.82381392,,,
3,14.61494799,497,10,25,28.58768908,27.82258725,,,
3,14.61679697,497.1,10,25,28.58649722,27.82136161,,,
3,14.61862627,497.2,10,25,28.58530595,27.820137,,,
3,14.62043608,497.3,10,25,28.58411529,27.81891342,,,
3,14.62222657,497.4,10,25,28.58292524,27.81769087,,,
3,14.62399793,497.5,10,25,28.58173579,27.81646935,,,
3,14.62575033,497.6,10,25,28.58054695,27.81524886,,,
3,14.62748396,497.7,10,25,28.57935872,27.81402939,,,
3,14.62919899,497.8,10,25,28.57817111,27.81281094,,,
3,14.63089559,497.9,10,25,28.57698412,27.81159352,,,
3,14.63257393,498,10,25,28.57579774,27.81037712,,,
3,14.63423419,498.1,10,25,28.57461199,27.80916174,,,
3,14.63587653,498.2,10,25,28.57342687,27.80794737,,,
3,14.63750113,498.3,10,25,28.57224237,27.80673402,,,
3,14.63910815,498.4,10,25,28.5710585,27.80552169,,,
3,14.64069775,498.5,10,25,28.56987526,27.80431037,,,
3,14.6422701,498.6,10,25,28.56869266,27.80310007,,,
3,14.64382536,498.7,10,25,28.56751069,27.80189077,,,
3,14.64536368,498.8,10,25,28.56632937,27.80068249,,,
3,14.64688524,498.9,10,25,28.56514868,27.79947522,,,
3,14.64839017,499,10,25,28.56396864,27.79826895,,,
3,14.64987865,499.1,10,25,28.56278924,27.79706369,,,
3,14.65135083,499.2,10,25,28.56161049,27.79585943,,,
3,14.65280685,499.3,10,25,28.56043239,27.79465618,,,
3,14.65424687,499.4,10,25,28.55925494,27.79345393,,,
3,14.65567103,499.5,10,25,28.55807814,27.79225268,,,
3,14.6570795,499.6,10,25,28.556902,27.79105243,,,
3,14.65847241,499.7,10,25,28.55572652,27.78985318,,,
3,14.65984991,499.8,10,25,28.55455169,27.78865492,,,
3,14.66121215,499.9,10,25,28.55337753,27.78745766,,,
3,14.66255926,500,10,25,28.55220403,27.7862614,,,
3,14.6638914,500.1,10,25,28.5510312,27.78506613,,,
3,14.66520869,500.2,10,25,28.54985904,27.78387185,,,
3,14.66651129,500.3,10,25,28.54868754,27.78267856,,,
